datetime,value
2026-01-01,43308.565
2026-01-02,44077.28
2026-01-03,43779.6425
2026-01-04,43939.775
2026-01-05,44363.18
2026-01-06,44743.5075
2026-01-07,44265.317500000005
2026-01-08,44235.81
2026-01-09,44541.9225
2026-01-10,43984.87
2026-01-11,43784.94
2026-01-12,44248.9125
2026-01-13,44218.8575
2026-01-14,44674.162500000006
2026-01-15,44584.3925
2026-01-16,44380.755000000005
2026-01-17,43950.345
2026-01-18,43976.402500000004
2026-01-19,43789.9975
2026-01-20,44413.942500000005
2026-01-21,44446.4275
2026-01-22,44639.7025
2026-01-23,44548.17
2026-01-24,44273.3225
2026-01-25,44176.08500000001
2026-01-26,44553.795
2026-01-27,44361.84
2026-01-28,44281.785
2026-01-29,44136.16
2026-01-30,44452.284999999996
2026-01-31,44270.705
2026-02-01,44033.2275
2026-02-02,44144.33
2026-02-03,44047.475000000006
2026-02-04,43979.479999999996
2026-02-05,43955.375
2026-02-06,43856.545
2026-02-07,43573.5675
2026-02-08,43477.2825
2026-02-09,43769.027500000004
2026-02-10,43863.0125
2026-02-11,43637.979999999996
2026-02-12,43618.8825
2026-02-13,43469.655
2026-02-14,43030.275
2026-02-15,42969.5275
2026-02-16,42932.61
2026-02-17,43447.89
2026-02-18,43482.58
2026-02-19,43333.985
2026-02-20,42992.2475
2026-02-21,43016.9475
2026-02-22,42833.2275
2026-02-23,43101.335
2026-02-24,42978.972499999996
2026-02-25,42949.682499999995
2026-02-26,42884.274999999994
2026-02-27,42668.259999999995
2026-02-28,42081.212499999994
2026-03-01,42043.197499999995
2026-03-02,42776.962499999994
2026-03-03,42590.8025
2026-03-04,42519.1575
2026-03-05,42464.64
2026-03-06,42432.277500000004
2026-03-07,41754.905
2026-03-08,41634.347499999996
2026-03-09,42250.695
2026-03-10,42106.78
2026-03-11,42158.575000000004
2026-03-12,42047.1975
2026-03-13,42026.2775
2026-03-14,41313.765
2026-03-15,41256.585
2026-03-16,41983.365
2026-03-17,41889.7275
2026-03-18,41832.2075
2026-03-19,41821.76
2026-03-20,41830.595
2026-03-21,41038.0175
2026-03-22,41009.4425
2026-03-23,41794.92
2026-03-24,41705.4925
2026-03-25,41704.6275
2026-03-26,41729.130000000005
2026-03-27,41745.1925
2026-03-28,40878.915
2026-03-29,40829.7425
2026-03-30,41653.68
2026-03-31,41653.7825
2026-04-01,46602.5
