datetime,value
2026-01-01,54243.058611111104
2026-01-02,55901.680625
2026-01-03,55061.8846875
2026-01-04,54578.5040625
2026-01-05,55902.926666666666
2026-01-06,57395.14114583333
2026-01-07,56954.50916666667
2026-01-08,56770.504375000004
2026-01-09,56647.54677083333
2026-01-10,55333.80739583334
2026-01-11,54723.012604166666
2026-01-12,56678.911041666666
2026-01-13,56786.065625
2026-01-14,56698.20177083333
2026-01-15,56577.09041666667
2026-01-16,56985.244999999995
2026-01-17,55784.61760416666
2026-01-18,55000.01645833333
2026-01-19,54578.13302083334
2026-01-20,56045.308229166665
2026-01-21,56524.70520833333
2026-01-22,56464.14916666666
2026-01-23,56578.949375
2026-01-24,54764.2725
2026-01-25,54367.01177083333
2026-01-26,55540.314375
2026-01-27,55752.6409375
2026-01-28,55966.74135416667
2026-01-29,55588.33635416667
2026-01-30,55348.72677083334
2026-01-31,54145.02333333333
2026-02-01,53995.79177083333
2026-02-02,55823.700625
2026-02-03,55923.5390625
2026-02-04,55590.93864583333
2026-02-05,55090.950000000004
2026-02-06,55308.488958333335
2026-02-07,53598.90614583333
2026-02-08,53113.10854166666
2026-02-09,54201.90270833333
2026-02-10,54676.778958333336
2026-02-11,55043.176041666666
2026-02-12,54394.49072916667
2026-02-13,54098.590312500004
2026-02-14,52564.271875
2026-02-15,52559.61177083333
2026-02-16,51798.15052083333
2026-02-17,53453.09979166667
2026-02-18,53552.6784375
2026-02-19,53175.51552083334
2026-02-20,52809.56166666666
2026-02-21,51439.47677083333
2026-02-22,51029.61864583333
2026-02-23,52485.341458333336
2026-02-24,52693.1509375
2026-02-25,52599.313333333324
2026-02-26,52627.591875
2026-02-27,52260.82697916667
2026-02-28,50770.16416666667
2026-03-01,50510.061875
2026-03-02,51689.5234375
2026-03-03,51923.4634375
2026-03-04,51831.12708333333
2026-03-05,51648.4315625
2026-03-06,51778.511562499996
2026-03-07,50072.940312499995
2026-03-08,50067.95041666667
2026-03-09,51440.59125
2026-03-10,51449.40427083333
2026-03-11,51486.887291666666
2026-03-12,51511.26635416667
2026-03-13,51114.674687499995
2026-03-14,49766.20125
2026-03-15,49436.29020833333
2026-03-16,50852.57833333334
2026-03-17,51378.667604166665
2026-03-18,51313.23520833334
2026-03-19,51245.661458333336
2026-03-20,51451.889375
2026-03-21,49789.80489583333
2026-03-22,49592.1753125
2026-03-23,51006.66583333333
2026-03-24,51621.40447916667
2026-03-25,51705.322291666664
2026-03-26,51692.57947916667
2026-03-27,51574.46979166666
2026-03-28,50183.5478125
2026-03-29,49716.69708333333
2026-03-30,51461.134374999994
2026-03-31,51846.5675
2026-04-01,55001.167499999996
