datetime,value
2026-01-01,51126.3475
2026-01-02,54131.95
2026-01-03,54000.9675
2026-01-04,53202.302500000005
2026-01-05,54784.8
2026-01-06,55357.8425
2026-01-07,55140.009999999995
2026-01-08,55403.399999999994
2026-01-09,55368.435
2026-01-10,54625.4075
2026-01-11,53161.0
2026-01-12,54221.770000000004
2026-01-13,55631.235
2026-01-14,55612.2275
2026-01-15,55764.682499999995
2026-01-16,55358.472499999996
2026-01-17,54221.31
2026-01-18,52860.0725
2026-01-19,53392.755000000005
2026-01-20,54742.325000000004
2026-01-21,55539.67
2026-01-22,55984.0925
2026-01-23,55246.335
2026-01-24,54461.340000000004
2026-01-25,53148.57
2026-01-26,54717.409999999996
2026-01-27,55578.655
2026-01-28,55035.1325
2026-01-29,55146.7125
2026-01-30,54724.417499999996
2026-01-31,53831.34
2026-02-01,52685.455
2026-02-02,53943.4
2026-02-03,54409.9975
2026-02-04,54388.35
2026-02-05,54670.595
2026-02-06,54374.265
2026-02-07,53656.605
2026-02-08,52347.042499999996
2026-02-09,54144.47
2026-02-10,54420.7075
2026-02-11,54120.265
2026-02-12,54303.04
2026-02-13,53998.2625
2026-02-14,53317.64
2026-02-15,51579.045
2026-02-16,52163.4975
2026-02-17,53368.082500000004
2026-02-18,53658.2975
2026-02-19,53674.667499999996
2026-02-20,53644.595
2026-02-21,53205.065
2026-02-22,51654.770000000004
2026-02-23,53084.822499999995
2026-02-24,53604.475000000006
2026-02-25,53432.9375
2026-02-26,53813.47749999999
2026-02-27,53024.0975
2026-02-28,52963.2125
2026-03-01,51230.64750000001
2026-03-02,52768.832500000004
2026-03-03,53085.72
2026-03-04,53229.4075
2026-03-05,53365.2225
2026-03-06,52954.1275
2026-03-07,52709.6325
2026-03-08,51612.287500000006
2026-03-09,53349.7575
2026-03-10,54026.600000000006
2026-03-11,54208.005
2026-03-12,54038.075
2026-03-13,53803.1025
2026-03-14,52881.74
2026-03-15,51968.83
2026-03-16,53210.43
2026-03-17,54004.51
2026-03-18,53878.597499999996
2026-03-19,54150.0725
2026-03-20,54168.675
2026-03-21,53193.549999999996
2026-03-22,51993.1475
2026-03-23,53239.6725
2026-03-24,53913.485
2026-03-25,54114.72749999999
2026-03-26,53946.515
2026-03-27,54152.665
2026-03-28,53706.5275
2026-03-29,52016.8175
2026-03-30,53993.4125
2026-03-31,55473.765
2026-04-01,53230.1775
