datetime,value
2026-01-01,58730.5775
2026-01-02,61303.700000000004
2026-01-03,60670.8875
2026-01-04,60563.295
2026-01-05,63161.17
2026-01-06,63721.6475
2026-01-07,63268.005
2026-01-08,63794.1925
2026-01-09,63286.395000000004
2026-01-10,61757.28999999999
2026-01-11,60792.259999999995
2026-01-12,62945.682499999995
2026-01-13,63679.505
2026-01-14,63544.03999999999
2026-01-15,63987.4275
2026-01-16,63383.159999999996
2026-01-17,61815.652500000004
2026-01-18,60637.33
2026-01-19,60459.5725
2026-01-20,62710.795
2026-01-21,62874.015
2026-01-22,63655.485
2026-01-23,62871.0
2026-01-24,61758.494999999995
2026-01-25,60405.9525
2026-01-26,62421.159999999996
2026-01-27,62679.735
2026-01-28,62115.17
2026-01-29,62087.85
2026-01-30,61870.0225
2026-01-31,60473.8675
2026-02-01,60323.565
2026-02-02,62067.4225
2026-02-03,61565.46
2026-02-04,61631.3925
2026-02-05,61645.972499999996
2026-02-06,61326.0525
2026-02-07,59836.6075
2026-02-08,58947.2775
2026-02-09,61056.7625
2026-02-10,60693.3675
2026-02-11,60819.455
2026-02-12,60677.8575
2026-02-13,60132.2125
2026-02-14,58783.3575
2026-02-15,57726.262500000004
2026-02-16,58255.645
2026-02-17,59700.707500000004
2026-02-18,59433.645000000004
2026-02-19,59184.23
2026-02-20,58996.3425
2026-02-21,58152.3075
2026-02-22,56972.067500000005
2026-02-23,58741.787500000006
2026-02-24,58777.97749999999
2026-02-25,58598.744999999995
2026-02-26,58968.775
2026-02-27,58051.89
2026-02-28,57774.9725
2026-03-01,56335.18
2026-03-02,57588.53
2026-03-03,57968.61
2026-03-04,58442.8075
2026-03-05,58264.049999999996
2026-03-06,57927.8975
2026-03-07,57525.25
2026-03-08,56487.865
2026-03-09,58542.240000000005
2026-03-10,58862.5375
2026-03-11,59133.520000000004
2026-03-12,58947.240000000005
2026-03-13,58763.9675
2026-03-14,57712.095
2026-03-15,56812.07
2026-03-16,57677.805
2026-03-17,58995.902500000004
2026-03-18,58807.7275
2026-03-19,59053.0875
2026-03-20,59195.195
2026-03-21,58721.9475
2026-03-22,57416.6375
2026-03-23,58456.6425
2026-03-24,59805.662500000006
2026-03-25,60266.9825
2026-03-26,59667.737499999996
2026-03-27,59655.17
2026-03-28,58891.55499999999
2026-03-29,57752.405
2026-03-30,59845.887500000004
2026-03-31,61138.0175
2026-04-01,59194.7475
