datetime,value
2026-01-01,61853.056399999994
2026-01-02,62670.629199999996
2026-01-03,60997.5256
2026-01-04,60196.3939
2026-01-05,61297.360400000005
2026-01-06,61861.913
2026-01-07,62217.7667
2026-01-08,61399.60979999999
2026-01-09,61287.02389999999
2026-01-10,60871.5089
2026-01-11,61275.35079999999
2026-01-12,62658.8813
2026-01-13,61288.2192
2026-01-14,59862.71009999999
2026-01-15,60637.319599999995
2026-01-16,61369.2062
2026-01-17,60725.02779999999
2026-01-18,59815.454300000005
2026-01-19,60502.135299999994
2026-01-20,60047.230500000005
2026-01-21,61369.7627
2026-01-22,60132.445
2026-01-23,61280.41879999999
2026-01-24,57623.679
2026-01-25,58700.3389
2026-01-26,59543.652899999994
2026-01-27,57898.333
2026-01-28,62147.06909999999
2026-01-29,59275.064000000006
2026-01-30,61940.7653
2026-01-31,58648.2492
2026-02-01,59408.679
2026-02-02,61881.986699999994
2026-02-03,63658.505999999994
2026-02-04,62742.2043
2026-02-05,60565.397899999996
2026-02-06,61592.231
2026-02-07,59893.894499999995
2026-02-08,58876.693900000006
2026-02-09,59057.581600000005
2026-02-10,59785.95199999999
2026-02-11,59804.1991
2026-02-12,59227.6171
2026-02-13,61002.500499999995
2026-02-14,57156.7581
2026-02-15,59806.42409999999
2026-02-16,56385.288499999995
2026-02-17,58926.728899999995
2026-02-18,58324.0985
2026-02-19,59269.2199
2026-02-20,56761.8048
2026-02-21,54154.428199999995
2026-02-22,55171.3019
2026-02-23,57239.280600000006
2026-02-24,57332.0052
2026-02-25,58152.7651
2026-02-26,56775.065599999994
2026-02-27,59937.83639999999
2026-02-28,54062.09529999999
2026-03-01,54435.9465
2026-03-02,53618.8428
2026-03-03,56743.325
2026-03-04,55554.7909
2026-03-05,54424.375499999995
2026-03-06,56079.31939999999
2026-03-07,52372.9424
2026-03-08,53092.996
2026-03-09,54474.535599999996
2026-03-10,52358.765100000004
2026-03-11,51169.8249
2026-03-12,53435.67119999999
2026-03-13,52551.62729999999
2026-03-14,49251.4516
2026-03-15,50121.1172
2026-03-16,50302.3388
2026-03-17,51378.9643
2026-03-18,49922.8084
2026-03-19,50314.1205
2026-03-20,50398.6476
2026-03-21,49848.6264
2026-03-22,49339.700999999994
2026-03-23,49269.1272
2026-03-24,50090.198800000006
2026-03-25,50084.5085
2026-03-26,50710.8329
2026-03-27,49356.5535
2026-03-28,48795.5426
2026-03-29,48644.3139
2026-03-30,49613.5921
2026-03-31,49501.4733
2026-04-01,55594.51839999999
